RID,datetime,idn,carrier,date,connection,arrival,delay_in_min,name
us6000i8em,06-05-22 7:30,9358023/3  ,Koleje Mazowieckie,06-05-22,Mińsk Mazowiecki - Grodzisk Mazowiecki,8:354:00 AM,5,Warszawa Włochy
pr71361198,06-05-22 7:30,95407,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Główna,7:35,0,Gdańsk Przymorze-Uniwersytet
nn00843739,06-05-22 7:30,59606,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Gdańsk Śródmieście,7:39,16,Gdańsk Przymorze-Uniwersytet
us6000i5sx,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:44,0,Gdańsk Przymorze-Uniwersytet
uu60507132,06-05-22 7:30,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:49,14,Gdańsk Przymorze-Uniwersytet
nn00843726,06-05-22 7:30,95409,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,7:54,0,Gdańsk Przymorze-Uniwersytet
us6000i5su,06-05-22 7:30,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:59,0,Gdańsk Przymorze-Uniwersytet
nn00843725,06-05-22 7:30,597234,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:359:00 AM,35,Gdańsk Przymorze-Uniwersytet
hv73088972,06-05-22 7:30,597236,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:323:00 AM,3,Gdańsk Przymorze-Uniwersytet
nc73763261,06-05-22 7:30,935374,Koleje Mazowieckie,06-05-22,Żyrardów - Warszawa Główna,8:356:00 AM,0,Warszawa Włochy
nc73763256,06-05-22 7:30,93450/35  ,Koleje Mazowieckie,06-05-22,Pilawa - Sochaczew,8:358:00 AM,6,Warszawa Włochy
pr71361193,06-05-22 7:30,93440/35  ,Koleje Mazowieckie,06-05-22,Mińsk Mazowiecki - Sochaczew,8:239:00 AM,0,Warszawa Włochy
us6000i8eu,06-05-22 7:30,9933523/3  ,SKM Warszawa,06-05-22,Otwock - Pruszków,8:33,35,Warszawa Włochy
mb80552584,06-05-22 7:30,95405,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,7:30,0,Sopot Wyścigi
nc73763246,06-05-22 7:30,59606,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Gdańsk Śródmieście,7:323:00 AM,8,Sopot Wyścigi
us6000i5sq,06-05-22 7:30,95407,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Główna,7:435:00 AM,9,Sopot Wyścigi
hv73088962,06-05-22 7:30,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:43,10,Sopot Wyścigi
nc73763241,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:50,18,Sopot Wyścigi
ci40070279,06-05-22 7:30,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:53,12,Sopot Wyścigi
ci40070271,06-05-22 7:30,95409,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,8:00,11,Sopot Wyścigi
nn00843723,06-05-22 7:30,597234,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:3523:00 AM,10,Sopot Wyścigi
ak0229k0zlvv,06-05-22 7:30,597236,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:235:00 AM,9,Sopot Wyścigi
ak0229k0qb5h,06-05-22 7:30,59606,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Gdańsk Śródmieście,7:34,45,Gdańsk Żabianka-AWFiS
us6000i5si,06-05-22 7:30,95407,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Główna,7:39,41,Gdańsk Żabianka-AWFiS
ak0229k0m7f9,06-05-22 7:30,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:45,43,Gdańsk Żabianka-AWFiS
nn00843644,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:48,41,Gdańsk Żabianka-AWFiS
nc73763231,06-05-22 7:30,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:55,23,Gdańsk Żabianka-AWFiS
